event_id,event_time,can_id,attack_type,severity,rule_score,ml_anomaly,message_frequency,time_interval,reason,status
1,1767261.6,0x100,Abnormal Frequency,Medium,1,1,20,0.0,"high message frequency, ML anomaly",DETECTED
2,1767261.6072,0x102,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
3,1767261.6071,0x101,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
4,1767261.607,0x100,Abnormal Frequency,High,2,1,20,0.0005000000819563,"high message frequency, short message interval, ML anomaly",DETECTED
5,1767261.6069,0x104,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
6,1767261.6068,0x103,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
7,1767261.6067,0x102,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
8,1767261.6066,0x101,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
9,1767261.6065,0x100,Abnormal Frequency,High,2,1,20,0.0005000000819563,"high message frequency, short message interval, ML anomaly",DETECTED
10,1767261.6064,0x104,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
11,1767261.6063,0x103,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
12,1767261.6062,0x102,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
13,1767261.6061,0x101,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
14,1767261.606,0x100,Abnormal Frequency,High,2,1,20,0.0004999998491257,"high message frequency, short message interval, ML anomaly",DETECTED
15,1767261.6059,0x104,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
16,1767261.6058,0x103,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
17,1767261.6057,0x102,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
18,1767261.6056,0x101,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
19,1767261.6055,0x100,Abnormal Frequency,High,2,1,20,0.0005000000819563,"high message frequency, short message interval, ML anomaly",DETECTED
20,1767261.6054,0x104,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
21,1767261.6053,0x103,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
22,1767261.6052,0x102,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
23,1767261.6073,0x103,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
24,1767261.6074,0x104,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
25,1767261.6075,0x100,Abnormal Frequency,High,2,1,20,0.0004999998491257,"high message frequency, short message interval, ML anomaly",DETECTED
26,1767261.6076,0x101,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
27,1767261.6099,0x104,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
28,1767261.6098,0x103,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
29,1767261.6097,0x102,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
30,1767261.6096,0x101,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
31,1767261.6095,0x100,Abnormal Frequency,High,2,1,20,0.0005000000819563,"high message frequency, short message interval, ML anomaly",DETECTED
32,1767261.6094,0x104,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
33,1767261.6093,0x103,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
34,1767261.6092,0x102,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
35,1767261.6091,0x101,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
36,1767261.609,0x100,Abnormal Frequency,High,2,1,20,0.0004999998491257,"high message frequency, short message interval, ML anomaly",DETECTED
37,1767261.6051,0x101,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
38,1767261.6089,0x104,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
39,1767261.6086,0x101,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
40,1767261.6085,0x100,Abnormal Frequency,High,2,1,20,0.0005000000819563,"high message frequency, short message interval, ML anomaly",DETECTED
41,1767261.6084,0x104,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
42,1767261.6083,0x103,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
43,1767261.6082,0x102,Abnormal Frequency,High,2,0,20,0.0004999998491257,"high message frequency, short message interval",DETECTED
44,1767261.6081,0x101,Abnormal Frequency,High,2,0,20,0.0005000000819563,"high message frequency, short message interval",DETECTED
