alert_time,event_timestamp,can_id,attack_type,severity,alert_level,rule_score,ml_anomaly,reason,status
2026-09-19 12:17:33,1767261.6,0x100,Unknown,Medium,WARNING,1,1,"high message frequency, ML anomaly",OPEN
2026-09-19 12:17:33,1767261.6001,0x101,Unknown,Medium,WARNING,1,1,"high message frequency, ML anomaly",OPEN
2026-09-19 12:17:33,1767261.6002,0x102,Unknown,Medium,WARNING,1,1,"high message frequency, ML anomaly",OPEN
2026-09-19 12:17:33,1767261.6003,0x103,Unknown,Medium,WARNING,1,1,"high message frequency, ML anomaly",OPEN
2026-09-19 12:17:33,1767261.6004,0x104,Unknown,Medium,WARNING,1,1,"high message frequency, ML anomaly",OPEN
2026-09-19 12:17:33,1767261.6005,0x100,Unknown,High,HIGH ALERT,2,1,"high message frequency, short message interval, ML anomaly",OPEN
2026-09-19 12:17:33,1767261.6006,0x101,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6007,0x102,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6008,0x103,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6009,0x104,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.601,0x100,Unknown,High,HIGH ALERT,2,1,"high message frequency, short message interval, ML anomaly",OPEN
2026-09-19 12:17:33,1767261.6011,0x101,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6012,0x102,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6013,0x103,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6014,0x104,Unknown,Critical,CRITICAL ALERT,3,1,"high message frequency, short message interval, suspicious payload, ML anomaly",OPEN
2026-09-19 12:17:33,1767261.6015,0x100,Unknown,High,HIGH ALERT,2,1,"high message frequency, short message interval, ML anomaly",OPEN
2026-09-19 12:17:33,1767261.6016,0x101,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6017,0x102,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6018,0x103,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6019,0x104,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.602,0x100,Unknown,High,HIGH ALERT,2,1,"high message frequency, short message interval, ML anomaly",OPEN
2026-09-19 12:17:33,1767261.6021,0x101,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6022,0x102,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6023,0x103,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6024,0x104,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6025,0x100,Unknown,High,HIGH ALERT,2,1,"high message frequency, short message interval, ML anomaly",OPEN
2026-09-19 12:17:33,1767261.6026,0x101,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6027,0x102,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
2026-09-19 12:17:33,1767261.6028,0x103,Unknown,High,HIGH ALERT,2,0,"high message frequency, short message interval",OPEN
