can_id,dlc,timestamp,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,payload_sum,payload_mean,payload_max,payload_min,non_zero_bytes,message_frequency,time_interval,repeated_message,label,ml_prediction,anomaly_score,ml_anomaly,status,rule_frequency,rule_timing,rule_payload,rule_repetition,rule_score,rule_anomaly,rule_status,combined_anomaly,detection_status,severity,severity_reason
256,8,1767261.6,6,240,0,0,0,0,0,0,246,30.75,240,0,2,20,0.0,0,0,-1,0.2228840210383318,1,Suspicious,1,0,0,0,1,1,Suspicious,1,Suspicious,Medium,"high message frequency, ML anomaly"
257,8,1767261.6001,55,0,0,0,0,0,0,0,55,6.875,55,0,1,20,0.0,0,0,-1,0.0800839223999854,1,Suspicious,1,0,0,0,1,1,Suspicious,1,Suspicious,Medium,"high message frequency, ML anomaly"
258,8,1767261.6002,82,0,0,0,0,0,0,0,82,10.25,82,0,1,20,0.0,0,0,-1,0.0778828740374706,1,Suspicious,1,0,0,0,1,1,Suspicious,1,Suspicious,Medium,"high message frequency, ML anomaly"
259,8,1767261.6003,0,0,0,0,0,0,0,0,0,0.0,0,0,0,20,0.0,0,0,-1,0.1451693566272334,1,Suspicious,1,0,0,0,1,1,Suspicious,1,Suspicious,Medium,"high message frequency, ML anomaly"
260,8,1767261.6004,0,5,0,0,0,0,0,0,5,0.625,5,0,1,20,0.0,0,0,-1,0.0894646854265103,1,Suspicious,1,0,0,0,1,1,Suspicious,1,Suspicious,Medium,"high message frequency, ML anomaly"
256,8,1767261.6005,7,8,0,0,0,0,0,0,15,1.875,8,0,2,20,0.0004999998491257,0,0,-1,0.0702766312284531,1,Suspicious,1,1,0,0,2,1,Suspicious,1,Suspicious,High,"high message frequency, short message interval, ML anomaly"
257,8,1767261.6006,57,0,0,0,0,0,0,0,57,7.125,57,0,1,20,0.0005000000819563,0,0,1,-0.0810502591899064,0,Normal,1,1,0,0,2,1,Suspicious,1,Suspicious,High,"high message frequency, short message interval"
258,8,1767261.6007,83,0,0,0,0,0,0,0,83,10.375,83,0,1,20,0.0005000000819563,0,0,1,-0.0859680786222043,0,Normal,1,1,0,0,2,1,Suspicious,1,Suspicious,High,"high message frequency, short message interval"
259,8,1767261.6008,0,0,0,0,0,0,0,0,0,0.0,0,0,0,20,0.0004999998491257,0,0,1,-0.0956885795143373,0,Normal,1,1,0,0,2,1,Suspicious,1,Suspicious,High,"high message frequency, short message interval"
260,8,1767261.6009,0,6,0,0,0,0,0,0,6,0.75,6,0,1,20,0.0004999998491257,0,0,1,-0.0674096898037706,0,Normal,1,1,0,0,2,1,Suspicious,1,Suspicious,High,"high message frequency, short message interval"
256,8,1767261.601,7,32,0,0,0,0,0,0,39,4.875,32,0,2,20,0.0005000000819563,0,0,-1,0.0142102258126596,1,Suspicious,1,1,0,0,2,1,Suspicious,1,Suspicious,High,"high message frequency, short message interval, ML anomaly"
257,8,1767261.6011,58,0,0,0,0,0,0,0,58,7.25,58,0,1,20,0.0005000000819563,0,0,1,-0.0893329898278044,0,Normal,1,1,0,0,2,1,Suspicious,1,Suspicious,High,"high message frequency, short message interval"
258,8,1767261.6012,84,0,0,0,0,0,0,0,84,10.5,84,0,1,20,0.0004999998491257,0,0,1,-0.0806235311894206,0,Normal,1,1,0,0,2,1,Suspicious,1,Suspicious,High,"high message frequency, short message interval"
259,8,1767261.6013,0,0,0,0,0,0,0,0,0,0.0,0,0,0,20,0.0005000000819563,0,0,1,-0.0956885795143373,0,Normal,1,1,0,0,2,1,Suspicious,1,Suspicious,High,"high message frequency, short message interval"
260,8,1767261.6014,255,250,0,0,0,0,0,0,505,63.125,255,0,2,20,0.0005000000819563,0,0,-1,0.2460732760539571,1,Suspicious,1,1,1,0,3,1,Suspicious,1,Suspicious,Critical,"high message frequency, short message interval, suspicious payload, ML anomaly"
256,8,1767261.6015,7,56,0,0,0,0,0,0,63,7.875,56,0,2,20,0.0005000000819563,0,0,-1,0.0179888596073134,1,Suspicious,1,1,0,0,2,1,Suspicious,1,Suspicious,High,"high message frequency, short message interval, ML anomaly"
257,8,1767261.6016,60,0,0,0,0,0,0,0,60,7.5,60,0,1,20,0.0004999998491257,0,0,1,-0.0855657425583986,0,Normal,1,1,0,0,2,1,Suspicious,1,Suspicious,High,"high message frequency, short message interval"
258,8,1767261.6017,85,0,0,0,0,0,0,0,85,10.625,85,0,1,20,0.0005000000819563,0,0,1,-0.0511981418492894,0,Normal,1,1,0,0,2,1,Suspicious,1,Suspicious,High,"high message frequency, short message interval"
